Collection,7day Volume,Lowest Floor Price,Highest Collection Offer,Spread
444(4) by Shvembldr,2.78,opensea.io : 0.65,opensea.io : 0.275,0.58
70s Pop Series Two by Daniel Catt,0.0,opensea.io : 0.393,opensea.io : 0.048,0.88
Abstraction by Hevey,0.0,opensea.io : 0.14,opensea.io : 0.06,0.57
Act of Emotion by Kelly Milligan,28.85,opensea.io : 1.25,opensea.io : 0.94,0.25
Aerial View by daLenz,1.0,opensea.io : 0.55,opensea.io : 0.215,0.61
Alien Clock by Shvembldr,0.0,opensea.io : 1.9,opensea.io : 0.811,0.57
Alien Insects by Shvembldr,0.19,opensea.io : 0.23,opensea.io : 0.111,0.52
Antennas by gcrll,0.37,opensea.io : 0.285,opensea.io : 0.068,0.76
Anticyclone by William Mapan,288.9,looksrare.org : 7.5,opensea.io : 9.8,-0.31
Archetype by Kjetil Golid,27.0,opensea.io : 32,opensea.io : 22,0.31
Beauty in the Hurting by Ryan Green,0.27,opensea.io : 0.08,opensea.io : 0.052,0.35
Beauty of Skateboarding by JEANVASCRIPT,0.1,opensea.io : 0.1,opensea.io : 0.051,0.49
Bent by ippsketch,7.74,opensea.io : 1.75,opensea.io : 1.11,0.37
Blockbob Rorschach by eBoy,0.27,opensea.io : 0.1,opensea.io : 0.065,0.35
Breathe You by raregonzo,0.0,opensea.io : 0.15,opensea.io : 0.05,0.67
CENTURY by Casey REAS,0.0,opensea.io : 1.95,opensea.io : 1.4,0.28
Cattleya by Ben Snell,0.12,opensea.io : 0.135,opensea.io : 0.07,0.48
Chroma Theory by Paweł Dudko,0.0,opensea.io : 0.49,opensea.io : 0.112,0.77
Chromie Squiggle by Snowfro,210.26,looksrare.org : 11.9,opensea.io : 11.01,0.07
Collapsed Sequence by toiminto,3.44,sansa.xyz : 0.2,opensea.io : 0.16,0.2
CryptoGodKing by Steve Pikelny,1.21,sansa.xyz : 0.8,opensea.io : 0.32,0.6
"Dear Hash, by MODNAR WOLF",0.0,opensea.io : 0.3,opensea.io : 0.018,0.94
